Brand List 1;Matched Brand List 2;Match Score
eqiom granulats;granulats vicat;75
eqiom granulats;granulats gsm pessac;75
ceramicas equipe;aleluia ceramicas;79
ceramicas equipe sl;aleluia ceramicas;72
ceramicas equipe sl;ceramica cifre sl;78
equitone;equipstore;78
ergon;bergon;91
ermelec;ermelec;100
ermes;ceramiche ermes spa;100
aluminium espace;alfer aluminium;77
aluminium espace;elec espace;71
etablissement gintrat;cozzi etablissement;81
etablissement gintrat;etablissement pate;84
etablissement gintrat;etablissements sogal;78
chamorin etablissements;cozzi etablissement;81
chamorin etablissements;etablissements sogal;82
etanco;etanco;100
eurocoustic;eurocoustic;100
eurodef;eurodef;100
eurodef;europe far;71
europro;europe far;71
eveno;eno;75
fabemi;decor fabemi;100
fabemi;fabemi groupe;100
faynot;faynot industrie;100
faynot;fayol;73
fayol;fayol;100
fba;fba;100
fd;dfd;80
fd;gfd;80
ferroli;feralpi;71
ferroli;ferrari;71
festool;festool;100
fiandre;filaire;71
fibertex;danemark fibertex;100
fibre premium;fibre premium;100
fila industrie;adg industriel;79
fila industrie;afbat industrie sas tb;78
fila industrie;atelier bain du industrie;78
fila industrie;biocama industrie;78
fila industrie;ceram industrie;78
fila industrie;d huart industrie sas;78
fila industrie;diam industries;83
fila industrie;drostub industrie;78
fila industrie;faynot industrie;80
fila industrie;cloture forlam industrie;78
fila industrie;bois industrie vielsalm;78
fila industrie;industrie isobox knauf;78
fimat;id mat;73
fimat;idmat;80
fimurex;aquitaine fimurex;100
fimurex;btp fimurex nord satrec;100
fimurex;btp fimurex sud;100
fimurex;centre est fimurex;100
fimurex;corse fimurex;100
fimurex;fabregues fimurex med;100
fincibec spa;century fincibec spa;100
fincibec spa;fincibec monocibec;80
finsa;finsa sas;100
fischer;darex fischer outillages;100
fischer;fischer;100
fischer;fischer georg sas;100
fitt;fitt mc sam;100
fitt;fitt spa su;100
fondatel voirie;fondatel lecomte;71
dechaumont fonderies;dechaumont fonderies;100
formica;formica;100
forsheda;forestea;75
bois fp;abm aix bois materiaux;73
bois fp;arc bois;73
bois fp;bois dauphine du;73
bois fp;bois de et sciages sougy;73
bois fp;bois des massif savoies;73
bois fp;bois plus woodplus;73
bois fp;bois diffusion techniques;73
bois fp;bois fp sas;100
bois fp;bois impregnes;73
bois fp;bois gouttesolard;73
bois fp;bois industrie vielsalm;73
bois impregnes;bois impregnes;100
fixations;fixations ing;100
comte franche mineral;comte franche mineral;100
comte franche mineral;comte franche granulats;77
franke;fraenkische;71
franke;franke sas;100
fondation franki;fondations franki;97
frankische;fischer;71
frankische;fraenkische;95
frenehard;a frenehard s;100
froment;frameto;71
fundermax;fundermax gmbh;100
funke;funke gmbh kunststoffe;100
distribution g3;arma distribution sarl;89
distribution g3;bao redistribution;73
distribution g3;bjs distribution;89
distribution g3;cge distribution;90
distribution g3;distribution f1;89
distribution g3;distribution felix;89
distribution g3;71 distribution fg;89
distribution g3;distribution g3;100
distribution g3;distribution godart;89
distribution g3;distribution graf sas;89
distribution g3;distribution jp outillage;89
alberts gah;alberts and gmbh gust;78
claude gaiffe;claude et fils gaiffe;100
gambini;gambini spa;100
gardenia;ardea;77
garnica;aric;73
geberit;geberit sarl;100
gerflor;gerflor;100
gerflor;gerflor sas;100
girpav;girpi;73
girpi;girpi;100
godart;distribution godart;100
godin;glodis;73
art ceramica gold;ceramica cifre sl;71
gonmar;gonmar trading xiamen;100
gontaud prefa;aude prefa;78
gpi;girpi;75
construction de grace produits;constru de grace produits;91
graf;distribution graf sas;100
europe gramitherm;europe far;75
gramperfil;gramperfil;100
granulati zandobbio;granulati spa zandobbio;100
basse granulats normandie;dp granulats;86
basse granulats normandie;eqiom granulats;75
basse granulats normandie;esbtp granulats;75
basse granulats normandie;granulats vicat;75
comte de franche granulats;dp granulats;86
comte de franche granulats;durance granulats;74
comte de franche granulats;eqiom granulats;75
comte de franche granulats;cote d eqiom granulats or;75
comte de franche granulats;esbtp granulats;75
comte de franche granulats;comte franche mineral;77
comte de franche granulats;de granulats haute marne;76
comte de franche granulats;comte franche granulats;100
comte de franche granulats;granulats vicat;75
alpes granulats rhone;alpes barciet rhone;73
alpes granulats rhone;dp granulats;86
alpes granulats rhone;eqiom granulats;75
alpes granulats rhone;esbtp granulats;75
alpes granulats rhone;auv bourgogne granulats;73
alpes granulats rhone;de granulats haute marne;71
alpes granulats rhone;granulats vicat;75
granulats loire rhone;dp granulats;86
granulats loire rhone;eqiom granulats;75
granulats loire rhone;esbtp granulats;75
granulats loire rhone;comte franche granulats;73
granulats loire rhone;granulats vicat;75
barradour graviere;barradour graviere;100
griffon;griffon sarl;100
griffon sanitaire;griffon sarl;76
groupe siat;crh eqiom groupe;71
groupe siat;ddc groupe;75
groupe siat;fabemi groupe;71
groupe siat;b f groupe h sas;71
groupe siat;groupe sas scapa;71
groupe siat;groupe siat;100
groupe siat;groupe sogemap tellura;71
groupe siat;groupe v33;75
groupe siat;grupodesa;70
groupe siat;groupe jano ryb;71
grundfos;grundfos;100
gsm;granulats gsm pessac;100
carrieres guignard;blanc carrieres;75
carrieres guignard;carrieres mbtp;78
carrieres guignard;carrieres thomas;72
guillemette;cie et guillemette;100
gutex;gutex;100
haemmerlin;haemmerlin sas;100
hager;diager;73
hager;hager sas;100
hager;hager sas tehalit;100
hager;halder;73
hager;hegler;73
halcor;hailo;73
flooring hamberger;flooring gmbh hamberger;100
hansgrohe;hansgrohe sas;100
hauraton;hauraton;100
hauraton;hauraton;100
hdm;hdm nv;100
hegler;hegler;100
bock heinrich;bock heinrich;100
bock heinrich;heinrich hks krueger sohn;76
fonderie heinrich;bock heinrich;76
helios;grdsoleil helios igap spa;100
ballastieres helmbacher;ballastieres lachaux;79
henry timber;aj timber;80
hermann peter;hermann peter;100
hermet;hermet sas;100
heveax;heveax;100
hirsch;hirsch;100
hogger holz;gmbh hogger holz;100
hoppe;hoppe;100
cruejouls de houilleres;cruejouls defi houilleres;96
hubler;hubler;100
huot;huot;100
huot parquet;huot;100
huot sas;hom sas y;71
huot sas;huot;100
huppe;hoppe;80
hydra industries;adg industriel;73
hydra industries;ceram industrie;77
hydra industries;d huart industrie sas;70
hydra industries;diam industries;84
hydra industries;dirickx industries;77
hydra industries;drostub industrie;73
hydro mineral;comte franche mineral;70
hydro mineral;eurl hydro mineral;100
hydro mineral;hydromeca;73
ceramica idea;ceramica cifre sl;76
imer;imer;100
imerys;imer;80
imerys;aluminates imerys;100
imex;imer;75
imola;imcoma;73
impex;gurmehar impex;100
incana;cinca;73
bois cie du industrie vielsalm;ceram industrie;75
bois cie du industrie vielsalm;faynot industrie;72
bois cie du industrie vielsalm;bois industrie vielsalm;100
fixation ing;emile fixation maurin;80
fixation ing;fixations ing;96
interfit;intersig;75
interges;com interges;100
interges;intersig;75
interplast;bermaplast;70
ipan;dispano;73
environnement ireal;coc environnement;87
environnement ireal;ireal sas;71
iris;airis;89
iris;iris ohyama;100
isiflo;isiflo sas;100
isiflo sas;if sas;75
isiflo sas;isiflo sas;100
itron;itron;100
jackon;gmbh insulation jackon;100
hardie james;batiment hardie james sas;100
jano;groupe jano ryb;100
jardimat;jardinat;88
jeld wen;jeld wen;100
jeld wen;jeld wen;100
deutschland jeld wen;jeld wen;100
ide joris;auvergne ide joris;100
ide joris;ide joris nv;100
ide joris;ide joris ouest sud;100
auvergne joriside;auvergne ide joris;80
jts;jts;100
kahrs;kahrs;100
karcher;karcher;100
kaufel;knauf;73
kdi;kdi sas;100
hermann keller scierie;ernest scierie weber;71
hermann keller scierie;hermann peter;70
balneo kinedo;balneo;100
insulation kingspan;insulation knauf sas;77
klauke;klauke;100
carrieres kleber moreau;blanc carrieres;75
carrieres kleber moreau;carrieres mbtp;78
carrieres kleber moreau;carrieres thomas;72
europe klockner pentaplast;europe far;75
knauf;knauf;100
knauf;ceiling knauf solutions;100
knauf;industrie isobox knauf;100
knauf;insulation knauf sas;100
ceiling knauf solutions;amd solutions;82
ceiling knauf solutions;knauf;100
ceiling knauf solutions;ceiling knauf solutions;100
ceiling knauf solutions;insulation knauf sas;70
est industries knauf;diam industries;80
est industries knauf;dirickx industries;71
est industries knauf;knauf;100
est industries knauf;industrie isobox knauf;76
insulation knauf;gmbh insulation jackon;77
insulation knauf;knauf;100
insulation knauf;ceiling knauf solutions;72
insulation knauf;insulation knauf sas;100
doo insulation knauf;knauf;100
doo insulation knauf;insulation knauf sas;89
knipping;knipping;100
koramic;formica;71
holzwerkstoffe kosche;egger holzwerkstoffe;82
kp1;kp1 siege;100
kronimus;ag kronimus;100
kronimus;kronimus maizieres;100
kronospan;kronospan luxembourg;100
kronospan;kronospan sas;100
kronospan luxembourg;kronospan luxembourg;100
kronospan luxembourg;kronospan sas;82
ceramicas ktl;aleluia ceramicas;82
